question_id,dimension,question
MFQ1_Care,Care,"Whether or not someone suffered emotionally"
MFQ2_Fairness,Fairness,"Whether or not some people were treated differently than others"
MFQ3_Loyalty,Loyalty,"Whether or not someone’s action showed love for his or her country"
MFQ4_Authority,Authority,"Whether or not someone showed a lack of respect for authority"
MFQ5_Purity,Purity,"Whether or not someone violated standards of purity and decency"
MFQ6_Filler,Filler,"Whether or not someone was good at math"
MFQ7_Care,Care,"Whether or not someone cared for someone weak or vulnerable"
MFQ8_Fairness,Fairness,"Whether or not someone acted unfairly"
MFQ9_Loyalty,Loyalty,"Whether or not someone did something to betray his or her group"
MFQ10_Authority,Authority,"Whether or not someone conformed to the traditions of society"
MFQ11_Purity,Purity,"Whether or not someone did something disgusting"
MFQ12_Care,Care,"Whether or not someone was cruel"
MFQ13_Fairness,Fairness,"Whether or not someone was denied his or her rights"
MFQ14_Loyalty,Loyalty,"Whether or not someone showed a lack of loyalty"
MFQ15_Authority,Authority,"Whether or not an action caused chaos or disorder"
MFQ16_Purity,Purity,"Whether or not someone acted in a way that God would approve of"

MFQ17_Care,Care,"Compassion for those who are suffering is the most crucial virtue."
MFQ18_Fairness,Fairness,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly."
MFQ19_Loyalty,Loyalty,"I am proud of my country’s history."
MFQ20_Authority,Authority,"Respect for authority is something all children need to learn."
MFQ21_Purity,Purity,"People should not do things that are disgusting, even if no one is harmed."
MFQ22_Filler,Filler,"It is better to do good than to do bad."
MFQ23_Care,Care,"One of the worst things a person could do is hurt a defenseless animal."
MFQ24_Fairness,Fairness,"Justice is the most important requirement for a society."
MFQ25_Loyalty,Loyalty,"People should be loyal to their family members, even when they have done something wrong."
MFQ26_Authority,Authority,"Men and women each have different roles to play in society."
MFQ27_Purity,Purity,"I would call some acts wrong on the grounds that they are unnatural."
MFQ28_Filler,Filler,"It can never be right to kill a human being."
MFQ29_Fairness,Fairness,"I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing."
MFQ30_Loyalty,Loyalty,"It is more important to be a team player than to express oneself."
MFQ31_Authority,Authority,"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty."
MFQ32_Purity,Purity,"Chastity is an important and valuable virtue."
